RouteKey,OriginAirportKey,DestAirportKey
CAE-ATL,CAE,ATL
CHA-ATL,CHA,ATL
CHO-ATL,CHO,ATL
CHS-ATL,CHS,ATL
CID-ATL,CID,ATL
CLE-ATL,CLE,ATL
CLT-ATL,CLT,ATL
CMH-ATL,CMH,ATL
COS-ATL,COS,ATL
CRW-ATL,CRW,ATL
CVG-ATL,CVG,ATL
DAB-ATL,DAB,ATL
DAL-ATL,DAL,ATL
DAY-ATL,DAY,ATL
DCA-ATL,DCA,ATL
DEN-ATL,DEN,ATL
DFW-ATL,DFW,ATL
DHN-ATL,DHN,ATL
DSM-ATL,DSM,ATL
DTW-ATL,DTW,ATL
ECP-ATL,ECP,ATL
EGE-ATL,EGE,ATL
ELP-ATL,ELP,ATL
EVV-ATL,EVV,ATL
EWR-ATL,EWR,ATL
EYW-ATL,EYW,ATL
FAR-ATL,FAR,ATL
FAT-ATL,FAT,ATL
FAY-ATL,FAY,ATL
FLL-ATL,FLL,ATL
FSD-ATL,FSD,ATL
FWA-ATL,FWA,ATL
GEG-ATL,GEG,ATL
GJT-ATL,GJT,ATL
GNV-ATL,GNV,ATL
GPT-ATL,GPT,ATL
GRB-ATL,GRB,ATL
GRR-ATL,GRR,ATL
GSO-ATL,GSO,ATL
GSP-ATL,GSP,ATL
HDN-ATL,HDN,ATL
HHH-ATL,HHH,ATL
HNL-ATL,HNL,ATL
HOU-ATL,HOU,ATL
HPN-ATL,HPN,ATL
HSV-ATL,HSV,ATL
IAD-ATL,IAD,ATL
IAH-ATL,IAH,ATL
ICT-ATL,ICT,ATL
ILM-ATL,ILM,ATL
IND-ATL,IND,ATL
JAC-ATL,JAC,ATL
JAN-ATL,JAN,ATL
JAX-ATL,JAX,ATL
JFK-ATL,JFK,ATL
LAS-ATL,LAS,ATL
LAX-ATL,LAX,ATL
LEX-ATL,LEX,ATL
LFT-ATL,LFT,ATL
LGA-ATL,LGA,ATL
LIT-ATL,LIT,ATL
MCI-ATL,MCI,ATL
MCO-ATL,MCO,ATL
MDT-ATL,MDT,ATL
MDW-ATL,MDW,ATL
MEM-ATL,MEM,ATL
MGM-ATL,MGM,ATL
MIA-ATL,MIA,ATL
MKE-ATL,MKE,ATL
MLB-ATL,MLB,ATL
MOB-ATL,MOB,ATL
MSN-ATL,MSN,ATL
MSP-ATL,MSP,ATL
MSY-ATL,MSY,ATL
MTJ-ATL,MTJ,ATL
MYR-ATL,MYR,ATL
OGG-ATL,OGG,ATL
OKC-ATL,OKC,ATL
OMA-ATL,OMA,ATL
ONT-ATL,ONT,ATL
ORD-ATL,ORD,ATL
ORF-ATL,ORF,ATL
PBI-ATL,PBI,ATL
PDX-ATL,PDX,ATL
PHL-ATL,PHL,ATL
PHX-ATL,PHX,ATL
PIT-ATL,PIT,ATL
PNS-ATL,PNS,ATL
PSP-ATL,PSP,ATL
PVD-ATL,PVD,ATL
PWM-ATL,PWM,ATL
RAP-ATL,RAP,ATL
RDU-ATL,RDU,ATL
RIC-ATL,RIC,ATL
RNO-ATL,RNO,ATL
ROA-ATL,ROA,ATL
ROC-ATL,ROC,ATL
RSW-ATL,RSW,ATL
SAN-ATL,SAN,ATL
SAT-ATL,SAT,ATL
SAV-ATL,SAV,ATL
SBA-ATL,SBA,ATL
SBN-ATL,SBN,ATL
SDF-ATL,SDF,ATL
SEA-ATL,SEA,ATL
SFO-ATL,SFO,ATL
SGF-ATL,SGF,ATL
SHV-ATL,SHV,ATL
SJC-ATL,SJC,ATL
SJU-ATL,SJU,ATL
SLC-ATL,SLC,ATL
SMF-ATL,SMF,ATL
SNA-ATL,SNA,ATL
SRQ-ATL,SRQ,ATL
STL-ATL,STL,ATL
STT-ATL,STT,ATL
STX-ATL,STX,ATL
SYR-ATL,SYR,ATL
TLH-ATL,TLH,ATL
TPA-ATL,TPA,ATL
TRI-ATL,TRI,ATL
TTN-ATL,TTN,ATL
TUL-ATL,TUL,ATL
TUS-ATL,TUS,ATL
TVC-ATL,TVC,ATL
TYS-ATL,TYS,ATL
VPS-ATL,VPS,ATL
XNA-ATL,XNA,ATL
